NAME                           ZONE
n2d-highcpu-48                 us-central1-a
n2d-highcpu-64                 us-central1-a
n2d-highcpu-8                  us-central1-a
n2d-highcpu-80                 us-central1-a
n2d-highcpu-96                 us-central1-a
n2d-highmem-16                 us-central1-a
n2d-highmem-2                  us-central1-a
n2d-highmem-32                 us-central1-a
n2d-highmem-4                  us-central1-a
n2d-highmem-48                 us-central1-a
n2d-highmem-64                 us-central1-a
n2d-highmem-8                  us-central1-a
n2d-highmem-80                 us-central1-a
n2d-highmem-96                 us-central1-a
n2d-standard-128               us-central1-a
n2d-standard-16                us-central1-a
n2d-standard-2                 us-central1-a
n2d-standard-224               us-central1-a
n2d-standard-32                us-central1-a
n2d-standard-4                 us-central1-a
n2d-standard-48                us-central1-a
n2d-standard-64                us-central1-a
n2d-standard-8                 us-central1-a
n2d-standard-80                us-central1-a
n2d-standard-96                us-central1-a
n4-highcpu-16                  us-central1-a
n4-highcpu-2                   us-central1-a
n4-highcpu-32                  us-central1-a
n4-highcpu-4                   us-central1-a
n4-highcpu-48                  us-central1-a
n4-highcpu-64                  us-central1-a
n4-highcpu-8                   us-central1-a
n4-highcpu-80                  us-central1-a
n4-highmem-16                  us-central1-a
n4-highmem-2                   us-central1-a
n4-highmem-32                  us-central1-a
n4-highmem-4                   us-central1-a
n4-highmem-48                  us-central1-a
n4-highmem-64                  us-central1-a
n4-highmem-8                   us-central1-a
n4-highmem-80                  us-central1-a
n4-standard-16                 us-central1-a
n4-standard-2                  us-central1-a
n4-standard-32                 us-central1-a
n4-standard-4                  us-central1-a
n4-standard-48                 us-central1-a
n4-standard-64                 us-central1-a
n4-standard-8                  us-central1-a
n4-standard-80                 us-central1-a
t2a-standard-1                 us-central1-a
t2a-standard-16                us-central1-a
t2a-standard-2                 us-central1-a
t2a-standard-32                us-central1-a
t2a-standard-4                 us-central1-a
t2a-standard-48                us-central1-a
t2a-standard-8                 us-central1-a
t2d-standard-1                 us-central1-a
t2d-standard-16                us-central1-a
t2d-standard-2                 us-central1-a
t2d-standard-32                us-central1-a
t2d-standard-4                 us-central1-a
t2d-standard-48                us-central1-a
t2d-standard-60                us-central1-a
t2d-standard-8                 us-central1-a
x4-megamem-1440-metal          us-central1-a
x4-megamem-1920-metal          us-central1-a
x4-megamem-960-metal           us-central1-a
z3-highmem-14-standardlssd     us-central1-a
z3-highmem-16-highlssd         us-central1-a
z3-highmem-176                 us-central1-a
z3-highmem-176-standardlssd    us-central1-a
z3-highmem-192-highlssd-metal  us-central1-a
z3-highmem-22-highlssd         us-central1-a
z3-highmem-22-standardlssd     us-central1-a
z3-highmem-32-highlssd         us-central1-a
z3-highmem-44-highlssd         us-central1-a
z3-highmem-44-standardlssd     us-central1-a
z3-highmem-8-highlssd          us-central1-a
z3-highmem-88                  us-central1-a
z3-highmem-88-highlssd         us-central1-a
z3-highmem-88-standardlssd     us-central1-a
a2-highgpu-1g                  us-central1-b
a2-highgpu-2g                  us-central1-b
a2-highgpu-4g                  us-central1-b
a2-highgpu-8g                  us-central1-b
a2-megagpu-16g                 us-central1-b
a3-edgegpu-8g                  us-central1-b
a3-edgegpu-8g-nolssd           us-central1-b
a3-highgpu-1g                  us-central1-b
a3-highgpu-2g                  us-central1-b
a3-highgpu-4g                  us-central1-b
a3-highgpu-8g                  us-central1-b
